sexo,secc,n_obs,y_dir,sd_dir,cv_dir,vardir
H,1,74,24836.7123513054,3388.00110628014,13.64110135978633,11478551.496155452
H,10,2820,24575.726084475045,629.8325811294279,2.5628238977130575,396689.0802521574
H,11,1882,11079.856952770364,315.3064557508606,2.8457628748719777,99418.16103816942
H,12,1009,21868.244241012668,798.7969212049197,3.652771170841511,638076.5213264588
H,13,1712,10897.027128797234,326.6549859181189,2.9976523143167912,106703.47982516645
H,14,641,22605.69614522989,1044.4154756952403,4.6201429453240985,1090803.685871715
H,15,509,28797.749005083868,1475.0364313977473,5.122054613148232,2175732.473950601
H,16,894,8920.19510099832,361.1107842469597,4.048238633329279,130400.99849945429
H,17,2095,8749.600148211171,241.167538302594,2.7563263945484406,58161.78153093315
H,18,1723,38931.887617067434,1154.5398453260646,2.9655378045936907,1332962.254445533
H,19,417,17855.771326703132,1109.2901528490213,6.212502011548998,1230524.643207805
H,2,65,20460.870099783202,4058.686115935969,19.83633196507598,16472932.987691402
H,20,1179,13531.482136673321,498.1005233882164,3.68104926243263,248104.13139961511
H,21,1498,11147.79698776597,364.1073686165405,3.2661822691615767,132574.1758808613
H,22,929,15394.10620564755,630.7742117205488,4.097504611791883,397876.10617167974
H,23,392,27941.706376760565,1907.8971398012757,6.828133951719195,3640071.4960618885
H,24,1170,29940.627731712262,1047.596365052079,3.498912495887635,1097458.1440703287
H,3,72,14298.886309729502,2230.1290096913526,15.596522424084794,4973475.399866933
H,4,147,26634.778579767353,2622.6326308806924,9.8466470183947,6878201.916560182
H,5,218,23222.636512632467,1994.3444116977114,8.587932772460368,3977409.6324698906
H,6,141,28783.867165066786,2877.262850368961,9.996095499846243,8278641.510113319
H,7,343,25127.31755924851,1689.9004748508487,6.725351684938824,2855763.614901124
H,8,261,17701.923511276218,1479.0359575176647,8.355227365972466,2187547.363630195
H,9,1032,11475.413509739807,436.1853651726915,3.801042679660104,190257.67279083421
H,99,1241,10230.587329482214,361.4013124112185,3.5325568393296694,130610.90861255115
M,1,93,18693.708893577124,2248.9668479729967,12.030608055235673,5057851.883281596
M,10,3482,22823.334281592695,480.24005731420215,2.104162570591282,230630.51264914815
M,11,2081,10473.077368157314,276.87669463566164,2.643699505911095,76660.70403236942
M,12,1216,19519.302886442747,647.5258574958496,3.317361594637648,419289.7361257353
M,13,1844,10741.540739978875,308.2895652739383,2.870068389039547,95042.45605679388
M,14,792,21514.735719878347,888.8741354587114,4.131466670247983,790097.2286874716
M,15,607,25157.707843072916,1170.2031416980972,4.651469637049261,1369375.392840097
M,16,960,7748.399214165432,290.4479047124905,3.748489161238632,84359.98535187598
M,17,2278,8167.077078013798,212.0161385956774,2.5959855229778106,44950.84302502149
M,18,2227,34942.87906205019,864.0448564048739,2.4727351597747202,746573.5138797192
M,19,504,16244.316669664724,842.4526800450228,5.186138002457513,709726.5181150415
M,2,56,13277.119515077131,2159.6330395323853,16.265825106718108,4664014.865439889
M,20,1402,12724.700503204205,410.62448919352437,3.2269874571124486,168612.4711254428
M,21,1667,10435.479942728694,315.4025934777855,3.0224062066024464,99478.79597251322
M,22,1073,14104.965532701097,521.7117226516083,3.698780556691659,272183.12155210867
M,23,478,24032.620930180346,1443.614286528228,6.006894923039069,2084022.2082684045
M,24,1521,28948.32205866911,907.0178649459824,3.1332312218571547,822681.4073311684
M,3,114,15950.525206948616,1924.8534936806086,12.067649614710328,3705060.972134445
M,4,172,21964.726733632888,1849.4023745162126,8.419874269067805,3420289.1428662054
M,5,277,22414.34870855483,1545.4731643190946,6.8950170465102,2388487.301630475
M,6,179,23313.566556129932,2031.9881890427928,8.715904467686492,4128976.0004094085
M,7,421,23755.30737088086,1387.2392878088801,5.839702539523236,1924432.841640489
M,8,312,16154.171661469643,1123.9002588527876,6.957337599262206,1263151.791849363
M,9,1113,11063.688614394427,402.04353772556226,3.633901420566763,161639.0062268856
M,99,1364,9614.815133012264,317.9935608555195,3.3073289133110357,101119.90474557297
